Process Image Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
232,1596868892.647297,1596868892.730133,82.835913,-0.100252
233,1596868892.747662,1596868892.830803,83.140612,-0.100365
234,1596868892.847885,1596868892.930847,82.962275,-0.100223
235,1596868892.948140,1596868893.031125,82.984924,-0.100255
236,1596868893.048372,1596868893.131352,82.979918,-0.100232
237,1596868893.148733,1596868893.231801,83.067656,-0.100361
238,1596868893.249125,1596868893.331903,82.778692,-0.100392
239,1596868893.349316,1596868893.432349,83.033085,-0.100191
240,1596868893.449698,1596868893.532649,82.950592,-0.100383
241,1596868893.550033,1596868893.632981,82.947493,-0.100335
242,1596868893.650231,1596868893.733147,82.916021,-0.100198
243,1596868893.750502,1596868893.833333,82.830667,-0.100271
244,1596868893.850727,1596868893.933565,82.837343,-0.100225
245,1596868893.951007,1596868894.033892,82.884789,-0.100280
246,1596868894.051273,1596868894.134147,82.874060,-0.100266
247,1596868894.151597,1596868894.234514,82.916737,-0.100324
248,1596868894.251831,1596868894.334731,82.899809,-0.100234
249,1596868894.352086,1596868894.435061,82.974195,-0.100255
250,1596868894.452393,1596868894.536922,84.528685,-0.100307
251,1596868894.552726,1596868894.635583,82.857132,-0.100332
252,1596868894.653049,1596868894.735961,82.912683,-0.100323
253,1596868894.753268,1596868894.836219,82.951307,-0.100219
254,1596868894.853468,1596868894.936227,82.758665,-0.100200
255,1596868894.953681,1596868895.036405,82.723141,-0.100214
256,1596868895.053873,1596868895.136569,82.696676,-0.100191
257,1596868895.154067,1596868895.236784,82.717896,-0.100194
258,1596868895.254294,1596868895.336995,82.701206,-0.100228
259,1596868895.354505,1596868895.437213,82.708120,-0.100210
260,1596868895.454716,1596868895.537384,82.667828,-0.100211
261,1596868895.554942,1596868895.637655,82.713127,-0.100227
262,1596868895.655159,1596868895.737821,82.661867,-0.100216
263,1596868895.755375,1596868895.838042,82.666636,-0.100217
264,1596868895.855596,1596868895.938249,82.652569,-0.100221
265,1596868895.955813,1596868896.038531,82.717419,-0.100217
266,1596868896.056018,1596868896.138685,82.667112,-0.100205
267,1596868896.156212,1596868896.238867,82.655191,-0.100194
268,1596868896.256437,1596868896.339064,82.626820,-0.100225
269,1596868896.356694,1596868896.439401,82.707167,-0.100257
270,1596868896.456902,1596868896.539745,82.842827,-0.100208
271,1596868896.557136,1596868896.640057,82.921267,-0.100234
272,1596868896.657360,1596868896.740597,83.236933,-0.100224
273,1596868896.757653,1596868896.840758,83.105087,-0.100293
274,1596868896.857949,1596868896.940807,82.857370,-0.100296
275,1596868896.958382,1596868897.041298,82.915545,-0.100433
276,1596868897.058591,1596868897.141530,82.939148,-0.100209
277,1596868897.158817,1596868897.241528,82.710743,-0.100226
278,1596868897.258974,1596868897.341673,82.698822,-0.100157
279,1596868897.359169,1596868897.441836,82.667112,-0.100195
280,1596868897.459413,1596868897.543762,84.349155,-0.100244
281,1596868897.559594,1596868897.642303,82.709551,-0.100181
282,1596868897.659763,1596868897.742501,82.738400,-0.100169
283,1596868897.759974,1596868897.842714,82.740307,-0.100211
284,1596868897.860144,1596868897.942871,82.726955,-0.100170
285,1596868897.960364,1596868898.043077,82.712412,-0.100220
286,1596868898.060542,1596868898.143236,82.693815,-0.100178
287,1596868898.160775,1596868898.243479,82.703590,-0.100233
288,1596868898.260969,1596868898.343690,82.720518,-0.100194
289,1596868898.361228,1596868898.443951,82.722425,-0.100259
290,1596868898.461435,1596868898.544134,82.699299,-0.100206
291,1596868898.561645,1596868898.644386,82.741022,-0.100211
292,1596868898.661864,1596868898.744599,82.734823,-0.100219
