Frame Capture Count,Start_Time(in sec),Stop_Time(in sec),Execution_Time(in msec),Jitter(in msec)
440,1596868913.494765,1596868913.494884,0.118494,-0.100171
441,1596868913.594882,1596868913.594991,0.108480,-0.100117
442,1596868913.695053,1596868913.695170,0.117064,-0.100171
443,1596868913.795169,1596868913.795276,0.106573,-0.100116
444,1596868913.895338,1596868913.895456,0.118017,-0.100169
445,1596868913.995464,1596868913.995575,0.110865,-0.100126
446,1596868914.095625,1596868914.095744,0.118732,-0.100161
447,1596868914.195754,1596868914.195862,0.107527,-0.100129
448,1596868914.295920,1596868914.296034,0.113726,-0.100166
449,1596868914.396040,1596868914.396148,0.108242,-0.100119
450,1596868914.496202,1596868914.496314,0.111818,-0.100163
451,1596868914.596321,1596868914.596428,0.106812,-0.100119
452,1596868914.696481,1596868914.696603,0.121355,-0.100160
453,1596868914.796604,1596868914.796714,0.109911,-0.100122
454,1596868914.896773,1596868914.896890,0.117540,-0.100169
455,1596868914.996888,1596868914.997001,0.113010,-0.100115
456,1596868915.097064,1596868915.097186,0.121832,-0.100177
457,1596868915.197307,1596868915.197448,0.140429,-0.100243
458,1596868915.297485,1596868915.297607,0.122309,-0.100178
459,1596868915.397602,1596868915.397708,0.106096,-0.100117
460,1596868915.497772,1596868915.497889,0.117064,-0.100170
461,1596868915.597889,1596868915.597993,0.103951,-0.100116
462,1596868915.698058,1596868915.698174,0.116825,-0.100169
463,1596868915.798193,1596868915.798299,0.105858,-0.100135
464,1596868915.898354,1596868915.898461,0.106573,-0.100161
465,1596868915.998474,1596868915.998581,0.107527,-0.100120
466,1596868916.098631,1596868916.098746,0.115395,-0.100157
467,1596868916.198754,1596868916.198858,0.103951,-0.100123
468,1596868916.298913,1596868916.299026,0.113249,-0.100159
469,1596868916.399035,1596868916.399140,0.105143,-0.100122
470,1596868916.499240,1596868916.499382,0.142336,-0.100205
471,1596868916.599380,1596868916.599492,0.111580,-0.100141
472,1596868916.699532,1596868916.699641,0.108957,-0.100152
473,1596868916.799654,1596868916.799759,0.105381,-0.100122
474,1596868916.899809,1596868916.899919,0.109911,-0.100156
475,1596868916.999950,1596868917.000057,0.107527,-0.100141
476,1596868917.100095,1596868917.100210,0.115395,-0.100145
477,1596868917.200228,1596868917.200334,0.106335,-0.100133
